Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 54 | Property / Excise (jp:54,idx:6)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8388060,281.0,(35|4)
0.7753623,214.0,(33|4)
0.7753623,214.0,(34|5)
0.7307692,38.0,(35|5)
0.6395349,110.0,(35|3)
0.5000000,2.0,(37|3)
0.5000000,2.0,(47|8)
0.4883721,21.0,(34|4)
0.3750000,9.0,(37|4)
0.2588832,51.0,(34|3)
0.1307190,20.0,(34|2)
0.1081081,20.0,(36|5)
0.1045752,16.0,(36|4)
0.09909910,11.0,(35|2)
0.05405406,2.0,(43|45)
0.04147466,9.0,(36|3)
0.03496503,5.0,(46|9)
0.03496503,5.0,(48|9)
0.03482587,7.0,(47|10)
0.03225806,5.0,(46|20)
0.02380952,2.0,(34|1)
0.01886792,1.0,(35|6)
0.01562500,2.0,(36|6)
0.01333333,2.0,(46|22)
0.009433962,2.0,(45|0)
0.009302326,2.0,(42|17)
0.007692308,1.0,(37|11)
0.007142857,1.0,(45|29)
0.006410256,2.0,(45|14)
0.006309148,2.0,(47|21)
0.006116208,2.0,(38|8)
0.005464481,1.0,(48|0)
0.005025126,1.0,(46|3)
0.004587156,1.0,(40|17)
0.004524887,1.0,(45|7)
0.004255319,1.0,(22|26)
0.003937008,1.0,(41|7)
0.003584229,1.0,(43|11)
0.003472222,1.0,(42|3)
0.003424658,1.0,(40|48)
0.003344482,1.0,(37|17)
0.003154574,1.0,(46|49)
0.002994012,1.0,(34|11)
0.002994012,1.0,(35|11)
0.002695418,1.0,(37|8)
0.001379310,1.0,(27|0)
0.0007342144,1.0,(30|21)
