Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 262 | Estate Planning-Trusts & Estates (jp:262,idx:111)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02229299,7.0,(27|30)
0.02222222,3.0,(2|43)
0.02222222,3.0,(2|44)
0.02222222,3.0,(21|2)
0.02202643,5.0,(43|37)
0.02173913,1.0,(12|26)
0.02173913,6.0,(42|8)
0.02164502,5.0,(0|49)
0.02162162,12.0,(46|5)
0.02162162,12.0,(47|4)
0.02162162,12.0,(47|5)
0.02134146,7.0,(39|37)
0.02083333,2.0,(46|26)
0.02076125,6.0,(43|36)
0.02061856,6.0,(23|4)
0.02000000,1.0,(21|12)
0.02000000,4.0,(36|41)
0.01990050,4.0,(44|18)
0.01923077,2.0,(24|49)
0.01923077,4.0,(43|8)
0.01923077,6.0,(45|14)
0.01872659,5.0,(45|16)
0.01843318,4.0,(44|20)
0.01794872,7.0,(23|45)
0.01791045,6.0,(35|4)
0.01769911,2.0,(48|30)
0.01754386,2.0,(10|40)
0.01754386,1.0,(20|30)
0.01754386,1.0,(49|47)
0.01694915,4.0,(39|19)
0.01694915,2.0,(40|38)
0.01677852,5.0,(49|15)
0.01666667,1.0,(30|27)
0.01639344,1.0,(37|26)
0.01639344,4.0,(44|22)
0.01621622,3.0,(3|46)
0.01621622,6.0,(21|3)
0.01619433,8.0,(10|34)
0.01612903,1.0,(4|45)
0.01546392,3.0,(39|40)
0.01538462,4.0,(15|13)
0.01538462,4.0,(37|36)
0.01530612,3.0,(16|26)
0.01526718,4.0,(35|43)
0.01515152,3.0,(44|19)
0.01500000,6.0,(39|22)
0.01500000,6.0,(40|19)
0.01492537,4.0,(3|15)
0.01492537,2.0,(10|43)
0.01481481,2.0,(12|32)
0.01477833,3.0,(48|7)
0.01476015,4.0,(49|12)
0.01470588,2.0,(21|7)
0.01428571,1.0,(16|6)
0.01418440,2.0,(45|48)
0.01411765,6.0,(38|23)
0.01408451,1.0,(11|27)
0.01405152,6.0,(20|8)
0.01369863,1.0,(2|5)
0.01369863,1.0,(3|43)
0.01333333,2.0,(2|49)
0.01333333,2.0,(4|46)
0.01333333,2.0,(16|13)
0.01333333,2.0,(46|22)
0.01321586,3.0,(15|34)
0.01315789,1.0,(21|4)
0.01315789,1.0,(22|4)
0.01307190,6.0,(26|43)
0.01307190,6.0,(37|44)
0.01298701,1.0,(14|12)
0.01298701,1.0,(34|33)
0.01282051,3.0,(21|13)
0.01276596,3.0,(44|17)
0.01271186,3.0,(37|29)
0.01265823,1.0,(32|32)
0.01261830,4.0,(42|12)
0.01250000,3.0,(38|12)
0.01250000,4.0,(49|48)
0.01234568,1.0,(22|5)
0.01224490,3.0,(45|24)
0.01219512,1.0,(12|16)
0.01212121,2.0,(47|19)
0.01208459,4.0,(34|17)
0.01204819,2.0,(12|23)
0.01204819,4.0,(40|6)
0.01190476,3.0,(37|14)
0.01183432,2.0,(41|9)
0.01176471,1.0,(35|42)
0.01176471,3.0,(43|10)
0.01171875,3.0,(26|37)
0.01158301,3.0,(38|30)
0.01149425,1.0,(29|23)
0.01129944,2.0,(40|49)
0.01125704,6.0,(38|43)
0.01104972,2.0,(11|45)
0.01104972,2.0,(36|16)
0.01102941,3.0,(18|39)
0.01089918,4.0,(37|23)
0.01086957,4.0,(2|12)
0.01081081,2.0,(26|45)
0.01063830,1.0,(16|19)
0.01052632,4.0,(1|13)
0.01048951,6.0,(4|10)
0.01036269,2.0,(43|13)
0.01030928,1.0,(12|30)
0.01030928,1.0,(33|17)
0.01013513,3.0,(19|22)
0.01013513,3.0,(49|18)
0.01010101,4.0,(38|45)
0.01010101,5.0,(39|45)
0.01005025,2.0,(46|29)
0.01003344,3.0,(48|19)
0.01002004,5.0,(14|32)
0.009966778,3.0,(40|7)
0.009966778,3.0,(47|15)
0.009950249,2.0,(43|46)
0.009900990,2.0,(31|20)
0.009900990,1.0,(47|25)
0.009900990,3.0,(48|24)
0.009646302,3.0,(35|19)
0.009615385,3.0,(34|13)
0.009615385,3.0,(35|13)
0.009569378,2.0,(46|13)
0.009433962,2.0,(41|13)
0.009345794,1.0,(28|1)
0.009216590,2.0,(44|42)
0.009202454,3.0,(44|1)
0.009174312,1.0,(31|3)
0.009090909,2.0,(26|10)
0.008928572,5.0,(0|26)
0.008928572,2.0,(25|19)
0.008849557,1.0,(34|47)
0.008849557,2.0,(40|20)
0.008810572,2.0,(4|8)
0.008695652,3.0,(48|47)
0.008645534,3.0,(44|49)
0.008620690,1.0,(8|47)
0.008620690,2.0,(35|49)
0.008583691,2.0,(6|24)
0.008510638,2.0,(22|26)
0.008474576,1.0,(7|45)
0.008333334,1.0,(11|10)
0.008264462,1.0,(28|25)
0.008264462,2.0,(44|13)
0.008130081,1.0,(8|27)
0.008032128,2.0,(17|31)
0.008000000,2.0,(3|16)
0.007905139,2.0,(37|21)
0.007874016,2.0,(42|22)
0.007874016,1.0,(44|5)
0.007874016,1.0,(48|4)
0.007812500,1.0,(36|6)
0.007731959,3.0,(9|5)
0.007662835,2.0,(37|7)
0.007604563,2.0,(44|48)
0.007575758,2.0,(49|46)
0.007547170,2.0,(21|20)
0.007532957,4.0,(20|20)
0.007518797,1.0,(9|39)
0.007453416,6.0,(4|30)
0.007400555,8.0,(26|35)
0.007380074,2.0,(2|19)
0.007352941,1.0,(31|21)
0.007299270,1.0,(31|34)
0.007299270,1.0,(38|11)
0.007207207,4.0,(16|2)
0.007142857,2.0,(28|48)
0.007042253,1.0,(8|5)
0.007017544,2.0,(35|41)
0.007017544,2.0,(40|11)
0.006993007,1.0,(0|43)
0.006993007,2.0,(40|10)
0.006944444,2.0,(9|31)
0.006880734,9.0,(36|34)
0.006802721,2.0,(41|46)
0.006756757,1.0,(46|47)
0.006681514,3.0,(42|41)
0.006666667,1.0,(19|44)
0.006666667,2.0,(42|7)
0.006535948,1.0,(2|3)
0.006535948,1.0,(3|1)
0.006477733,8.0,(25|45)
0.006472492,2.0,(26|22)
0.006451613,1.0,(13|5)
0.006451613,1.0,(40|43)
0.006430868,2.0,(15|24)
0.006359301,4.0,(22|41)
0.006269592,2.0,(47|16)
0.006250000,1.0,(34|22)
0.006230529,2.0,(38|29)
0.006134969,2.0,(25|41)
0.006079027,2.0,(26|8)
0.005917160,1.0,(9|41)
0.005899705,2.0,(37|16)
0.005830904,2.0,(49|19)
0.005747126,1.0,(3|3)
0.005714286,1.0,(7|34)
0.005714286,1.0,(11|22)
0.005714286,2.0,(39|41)
0.005681818,1.0,(9|30)
0.005681818,1.0,(28|3)
0.005649718,1.0,(44|12)
0.005617978,1.0,(15|30)
0.005617978,2.0,(22|32)
0.005555556,1.0,(20|7)
0.005540166,2.0,(29|18)
0.005509642,2.0,(25|46)
0.005484461,3.0,(16|29)
