Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 367 | Class Action-Substantive-Finance (jp:367,idx:204)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6666667,6.0,(18|40)
0.3831776,41.0,(19|41)
0.2012195,66.0,(18|41)
0.06250000,1.0,(3|8)
0.06250000,1.0,(5|8)
0.03846154,1.0,(10|3)
0.03571429,2.0,(23|0)
0.03488372,3.0,(47|7)
0.03448276,2.0,(19|15)
0.02040816,5.0,(17|41)
0.01840491,6.0,(17|42)
0.01818182,2.0,(0|7)
0.01785714,1.0,(49|29)
0.01762114,4.0,(4|8)
0.01574803,2.0,(48|26)
0.01204819,1.0,(3|5)
0.01190476,1.0,(21|11)
0.009615385,1.0,(23|14)
0.008219178,3.0,(17|12)
0.007633588,2.0,(16|44)
0.007352941,1.0,(21|7)
0.006410256,1.0,(49|5)
0.005747126,1.0,(1|27)
0.005747126,1.0,(26|5)
0.005376344,1.0,(23|31)
0.005319149,1.0,(18|43)
0.005016722,3.0,(20|44)
0.004524887,1.0,(0|4)
0.004357298,2.0,(26|43)
0.004264392,2.0,(22|13)
0.003603604,2.0,(46|5)
0.003603604,2.0,(47|4)
0.003603604,2.0,(47|5)
0.003424658,1.0,(15|26)
0.003401360,1.0,(41|46)
0.002481390,1.0,(25|26)
0.002192982,1.0,(32|43)
0.001976285,1.0,(25|30)
0.001964637,1.0,(10|21)
0.0008097166,1.0,(25|45)
