Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 445 | Municipal Finance-Admin (jp:445,idx:278)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6176471,42.0,(30|26)
0.6019108,189.0,(29|25)
0.3566177,97.0,(30|25)
0.1000000,2.0,(29|26)
0.09917355,12.0,(28|25)
0.06976745,3.0,(28|26)
0.04347826,2.0,(20|23)
0.04166667,2.0,(47|38)
0.02588997,8.0,(26|22)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02040816,2.0,(1|4)
0.02000000,1.0,(25|24)
0.01923077,1.0,(23|46)
0.01351351,1.0,(49|25)
0.01170960,5.0,(20|8)
0.01149425,2.0,(26|5)
0.01047120,2.0,(4|13)
0.009852217,2.0,(6|4)
0.009708738,1.0,(4|4)
0.008583691,2.0,(6|24)
0.008528785,4.0,(22|13)
0.008403362,1.0,(8|11)
0.006250000,1.0,(24|23)
0.006211180,1.0,(19|23)
0.005847953,1.0,(48|33)
0.005681818,1.0,(8|7)
0.005633803,2.0,(0|30)
0.004784689,1.0,(1|19)
0.004545454,1.0,(0|25)
0.004081632,1.0,(17|41)
0.003603604,2.0,(46|5)
0.003603604,2.0,(47|4)
0.003603604,2.0,(47|5)
0.002932551,1.0,(14|42)
0.002739726,1.0,(17|12)
0.002702703,1.0,(21|3)
0.002680965,1.0,(21|46)
0.002652520,1.0,(22|3)
0.002369668,1.0,(35|34)
0.002358491,1.0,(16|38)
0.002096436,1.0,(48|44)
0.001862197,1.0,(46|38)
0.001748252,1.0,(4|10)
0.001545595,1.0,(15|19)
0.001455604,1.0,(9|27)
