Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 340 | Tax Prep-Other (jp:340,idx:186)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(1|43)
0.8613861,87.0,(47|25)
0.8596491,147.0,(47|26)
0.6044444,136.0,(46|25)
0.1914191,58.0,(48|24)
0.1621622,6.0,(48|25)
0.1527273,42.0,(48|23)
0.1458333,14.0,(46|26)
0.08620690,5.0,(49|24)
0.07692308,2.0,(46|23)
0.07692308,1.0,(47|24)
0.06956521,32.0,(47|23)
0.05714286,8.0,(48|22)
0.04761905,6.0,(46|21)
0.04545455,8.0,(46|24)
0.04065040,10.0,(47|22)
0.03076923,4.0,(1|42)
0.02941176,1.0,(49|22)
0.02380952,3.0,(45|25)
0.02380952,3.0,(49|23)
0.02000000,3.0,(46|22)
0.01577287,5.0,(47|21)
0.01526718,4.0,(45|23)
0.01515152,1.0,(47|20)
0.01183432,2.0,(48|21)
0.008403362,2.0,(48|20)
0.007874016,1.0,(44|5)
0.007352941,1.0,(31|21)
0.006535948,1.0,(36|4)
0.004524887,1.0,(45|7)
0.003861004,1.0,(38|30)
0.003436426,1.0,(23|4)
0.003134796,1.0,(48|1)
0.002816901,1.0,(34|30)
0.002444988,1.0,(41|32)
0.002024292,1.0,(42|32)
