Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 287 | Corp Law Operational (jp:287,idx:136)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7362638,201.0,(13|38)
0.3809524,72.0,(12|38)
0.2857143,6.0,(14|38)
0.1111111,1.0,(12|37)
0.09523810,2.0,(0|15)
0.09523810,2.0,(0|16)
0.07792208,6.0,(13|39)
0.07407407,4.0,(16|10)
0.04000000,1.0,(13|37)
0.04000000,1.0,(25|1)
0.02380952,1.0,(0|6)
0.02127660,1.0,(6|5)
0.01612903,1.0,(15|10)
0.01492537,3.0,(24|2)
0.008928572,2.0,(22|12)
0.007575758,1.0,(4|33)
0.007352941,1.0,(21|7)
0.006535948,2.0,(13|35)
0.005952381,1.0,(0|27)
0.005917160,1.0,(9|41)
0.005128205,1.0,(12|20)
0.005076142,1.0,(6|38)
0.003891051,2.0,(0|42)
0.002808989,1.0,(25|10)
0.002739726,1.0,(9|42)
0.002659574,1.0,(31|2)
0.002652520,1.0,(22|3)
0.002463054,1.0,(19|12)
0.002463054,1.0,(20|12)
0.002053388,1.0,(28|6)
0.002044990,1.0,(22|8)
