Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 368 | Class Action-Substantive-Privacy (jp:368,idx:205)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7889909,258.0,(17|45)
0.4961832,130.0,(16|44)
0.3055556,22.0,(16|45)
0.2597403,20.0,(17|44)
0.1428571,6.0,(16|43)
0.1333333,2.0,(17|46)
0.1111111,2.0,(7|49)
0.07947020,12.0,(18|45)
0.07142857,2.0,(49|30)
0.03619910,8.0,(0|4)
0.03409091,3.0,(18|44)
0.02325581,2.0,(8|0)
0.02325581,2.0,(15|14)
0.02000000,1.0,(49|6)
0.01724138,4.0,(8|49)
0.01626016,2.0,(1|16)
0.01449275,1.0,(17|43)
0.01063830,1.0,(16|4)
0.01052632,1.0,(17|11)
0.01020408,2.0,(16|26)
0.009708738,1.0,(4|4)
0.009259259,1.0,(5|46)
0.009090909,1.0,(0|7)
0.009090909,1.0,(13|49)
0.008928572,1.0,(22|1)
0.008547009,2.0,(21|13)
0.008196721,1.0,(13|42)
0.008163265,2.0,(17|41)
0.007751938,1.0,(6|8)
0.007389163,3.0,(19|12)
0.007389163,3.0,(20|12)
0.007207207,4.0,(46|5)
0.007207207,4.0,(47|4)
0.007207207,4.0,(47|5)
0.006896552,1.0,(14|33)
0.006396588,3.0,(22|13)
0.005882353,1.0,(8|2)
0.005555556,1.0,(5|38)
0.005555556,1.0,(20|7)
0.005479452,2.0,(17|12)
0.005376344,1.0,(10|9)
0.005305040,2.0,(22|3)
0.004424779,1.0,(15|35)
0.003891051,2.0,(0|42)
0.003311258,1.0,(18|6)
0.002717391,1.0,(2|12)
0.002702703,1.0,(21|3)
0.002487562,1.0,(15|37)
0.001785714,1.0,(0|26)
0.001748252,1.0,(4|10)
0.001642036,1.0,(26|0)
0.001158749,1.0,(6|3)
