Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 56 | Sales/Use (jp:56,idx:7)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01030928,1.0,(33|17)
0.01025641,2.0,(40|14)
0.01023891,3.0,(44|44)
0.01023018,4.0,(46|19)
0.01015228,4.0,(39|30)
0.009950249,2.0,(44|7)
0.009803922,1.0,(44|24)
0.009708738,1.0,(6|15)
0.009708738,1.0,(41|42)
0.009569378,2.0,(42|20)
0.009569378,2.0,(46|13)
0.009478673,2.0,(31|19)
0.009478673,2.0,(38|21)
0.009478673,2.0,(40|21)
0.009433962,2.0,(41|13)
0.009433962,2.0,(43|20)
0.009433962,2.0,(45|0)
0.009389671,2.0,(12|29)
0.009345794,2.0,(42|10)
0.009216590,2.0,(40|0)
0.009146341,3.0,(41|4)
0.009063444,3.0,(45|10)
0.009009009,2.0,(45|8)
0.009009009,2.0,(48|13)
0.008928572,1.0,(36|21)
0.008888889,2.0,(46|25)
0.008733625,2.0,(39|15)
0.008695652,1.0,(27|49)
0.008658009,2.0,(38|2)
0.008333334,2.0,(38|12)
0.008230452,2.0,(39|29)
0.008196721,2.0,(37|12)
0.008163265,2.0,(45|24)
0.008064516,2.0,(43|15)
0.007968128,2.0,(30|18)
0.007812500,1.0,(39|20)
0.007751938,1.0,(43|9)
0.007662835,2.0,(37|7)
0.007575758,1.0,(48|2)
0.007518797,2.0,(43|24)
0.007462686,2.0,(42|5)
0.007194245,1.0,(42|43)
0.007168459,2.0,(41|11)
0.007075472,3.0,(48|16)
0.007067138,4.0,(38|0)
0.007042253,1.0,(47|3)
0.006954103,5.0,(43|1)
0.006896552,2.0,(43|34)
0.006711409,2.0,(49|15)
0.006688963,2.0,(37|17)
0.006688963,2.0,(48|19)
0.006666667,1.0,(16|13)
0.006666667,2.0,(37|18)
0.006622517,1.0,(36|8)
0.006600660,2.0,(48|24)
0.006578947,1.0,(43|6)
0.006451613,2.0,(38|14)
0.006451613,1.0,(47|0)
0.006410256,2.0,(45|14)
0.006309148,2.0,(47|21)
0.006289308,1.0,(18|25)
0.006269592,2.0,(48|1)
0.006211180,1.0,(41|30)
0.006134969,2.0,(35|18)
0.005952381,1.0,(45|15)
0.005813953,2.0,(22|0)
0.005649718,1.0,(40|49)
0.005540166,2.0,(29|18)
0.005424955,3.0,(34|21)
0.005405406,1.0,(26|45)
0.005376344,1.0,(41|49)
0.005279831,5.0,(33|37)
0.005128205,1.0,(28|18)
0.005128205,1.0,(29|17)
0.005128205,1.0,(48|17)
0.004975124,1.0,(32|26)
0.004975124,1.0,(43|46)
0.004926108,1.0,(40|30)
0.004926108,1.0,(40|46)
0.004889976,2.0,(48|15)
0.004672897,1.0,(44|15)
0.004651163,1.0,(42|17)
0.004608295,1.0,(32|24)
0.004524887,1.0,(27|2)
0.004219409,1.0,(35|12)
0.004048583,1.0,(41|22)
0.004032258,1.0,(42|21)
0.003984064,1.0,(31|30)
0.003976143,2.0,(25|32)
0.003921569,1.0,(29|20)
0.003875969,1.0,(16|40)
0.003875969,2.0,(43|25)
0.003831418,1.0,(36|7)
0.003745318,1.0,(41|8)
0.003597122,2.0,(38|48)
0.003558719,1.0,(41|18)
0.003460208,1.0,(39|23)
0.003350084,2.0,(34|31)
0.003215434,1.0,(35|19)
0.003194888,1.0,(42|29)
0.003184713,1.0,(27|30)
0.003154574,1.0,(42|12)
0.003144654,1.0,(36|20)
0.002932551,1.0,(39|11)
0.002873563,1.0,(39|17)
0.002695418,1.0,(43|26)
0.002642008,2.0,(33|23)
0.002570694,1.0,(44|47)
0.002364066,1.0,(37|15)
0.002277904,1.0,(43|23)
0.002159827,1.0,(46|46)
0.002024292,1.0,(42|32)
0.001996008,2.0,(35|20)
0.001724138,1.0,(18|22)
0.001468429,2.0,(30|21)
0.001447178,1.0,(39|38)
0.001102536,1.0,(29|47)
0.0008097166,1.0,(25|45)
0.0007369197,1.0,(19|36)
0.0005076142,1.0,(42|27)
