Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 295 | Tax Law-Partnership (jp:295,idx:144)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1428571,3.0,(49|45)
0.1418919,42.0,(49|18)
0.1408451,30.0,(19|24)
0.1401515,37.0,(47|14)
0.1400000,14.0,(41|39)
0.1355932,16.0,(12|27)
0.1351351,30.0,(48|13)
0.1325648,46.0,(47|17)
0.1306306,29.0,(45|8)
0.1282051,25.0,(47|11)
0.1272085,36.0,(44|34)
0.1263158,12.0,(48|14)
0.1259259,17.0,(45|4)
0.1250000,9.0,(33|20)
0.1250000,9.0,(38|42)
0.1250000,2.0,(41|45)
0.1250000,12.0,(42|48)
0.1231102,57.0,(46|46)
0.1225806,19.0,(40|43)
0.1217391,14.0,(10|32)
0.1201923,25.0,(43|8)
0.1200000,6.0,(1|30)
0.1185185,16.0,(12|32)
0.1184211,9.0,(16|24)
0.1176471,2.0,(36|32)
0.1176471,2.0,(37|33)
0.1176471,18.0,(48|12)
0.1176471,10.0,(49|14)
0.1174497,35.0,(49|15)
0.1173594,48.0,(48|15)
0.1170213,22.0,(43|16)
0.1157895,11.0,(43|44)
0.1153846,12.0,(45|2)
0.1147541,7.0,(47|48)
0.1137725,19.0,(44|33)
0.1133333,17.0,(45|18)
0.1128205,22.0,(48|17)
0.1127820,30.0,(39|8)
0.1111111,6.0,(37|6)
0.1111111,1.0,(41|47)
0.1097561,9.0,(32|48)
0.1097561,9.0,(34|46)
0.1095890,8.0,(45|45)
0.1086956,5.0,(16|32)
0.1078431,11.0,(45|9)
0.1075269,20.0,(36|9)
0.1072464,37.0,(48|18)
0.1071429,3.0,(10|31)
0.1071429,3.0,(45|3)
0.1064639,28.0,(46|15)
0.1052632,6.0,(19|28)
0.1052632,8.0,(43|27)
0.1052632,6.0,(43|41)
0.1052632,2.0,(49|43)
0.1034483,3.0,(39|4)
0.1034483,6.0,(49|24)
0.1031746,13.0,(45|25)
0.1031746,13.0,(49|23)
0.1015625,13.0,(38|7)
0.1015625,13.0,(43|0)
0.1000000,3.0,(0|17)
0.1000000,9.0,(11|30)
0.1000000,2.0,(29|26)
0.1000000,6.0,(30|27)
0.09950249,20.0,(44|18)
0.09929078,14.0,(45|48)
0.09693877,19.0,(34|20)
0.09615385,5.0,(45|21)
0.09569378,20.0,(46|17)
0.09523810,2.0,(31|24)
0.09433962,5.0,(35|21)
0.09342561,27.0,(43|36)
0.09302326,28.0,(40|7)
0.09302326,12.0,(41|16)
0.09239130,17.0,(42|40)
0.09210526,7.0,(11|34)
0.09090909,2.0,(34|28)
0.09090909,1.0,(44|28)
0.09000000,18.0,(17|24)
0.08970100,27.0,(47|15)
0.08947369,17.0,(46|14)
0.08928572,5.0,(37|5)
0.08928572,10.0,(44|8)
0.08917198,14.0,(36|47)
0.08888889,16.0,(46|11)
0.08888889,16.0,(48|10)
0.08860759,28.0,(42|16)
0.08823530,3.0,(18|33)
0.08783784,13.0,(39|26)
0.08743169,16.0,(44|16)
0.08695652,2.0,(15|18)
0.08695652,6.0,(47|40)
0.08585858,34.0,(38|45)
0.08530806,18.0,(31|19)
