Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 244 | Tax Law-Non-Profit (jp:244,idx:93)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3246445,137.0,(35|34)
0.06666667,3.0,(45|11)
0.06250000,6.0,(41|2)
0.01626016,2.0,(1|16)
0.01408451,1.0,(42|42)
0.009216590,2.0,(36|3)
0.007936508,1.0,(44|11)
0.007352941,1.0,(2|8)
0.007272727,2.0,(48|23)
0.006944444,2.0,(42|3)
0.006269592,2.0,(49|17)
0.005847953,1.0,(30|19)
0.005681818,1.0,(0|0)
0.005586592,3.0,(46|38)
0.005244755,3.0,(4|10)
0.005000000,1.0,(17|24)
0.004683841,2.0,(28|2)
0.004608295,1.0,(44|42)
0.004545454,1.0,(42|34)
0.003378378,1.0,(49|18)
0.003355705,1.0,(49|15)
0.002915452,1.0,(31|16)
0.002857143,1.0,(39|41)
0.002816901,1.0,(34|30)
0.002217295,1.0,(9|33)
0.002096436,1.0,(48|44)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
0.001623377,1.0,(49|11)
0.001545595,1.0,(15|19)
0.001531394,1.0,(18|27)
0.0007968128,1.0,(40|5)
