Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 108 | Intellectual Property (jp:108,idx:33)
Class Probability,Ex Count at BMU,BMU Map Loc
0.05526770,32.0,(29|4)
0.05508475,13.0,(30|13)
0.05479452,4.0,(2|5)
0.05454545,6.0,(2|37)
0.05345912,34.0,(23|16)
0.05309734,12.0,(28|15)
0.05263158,20.0,(1|13)
0.05263158,2.0,(2|1)
0.05247813,18.0,(31|16)
0.05223881,14.0,(3|15)
0.05164319,11.0,(25|47)
0.05109489,49.0,(29|42)
0.05102041,5.0,(29|7)
0.05063291,8.0,(33|10)
0.04942339,30.0,(27|17)
0.04878049,2.0,(7|24)
0.04854369,10.0,(1|10)
0.04854369,10.0,(2|10)
0.04845815,11.0,(31|5)
0.04761905,3.0,(1|12)
0.04761905,3.0,(2|11)
0.04761905,3.0,(2|13)
0.04761905,6.0,(2|45)
0.04761905,3.0,(3|12)
0.04761905,3.0,(3|13)
0.04761905,1.0,(14|38)
0.04733728,8.0,(2|2)
0.04716981,5.0,(20|9)
0.04651163,6.0,(6|8)
0.04642857,13.0,(29|16)
0.04624277,16.0,(33|7)
0.04587156,5.0,(31|3)
0.04575163,7.0,(33|12)
0.04545455,1.0,(7|29)
0.04545455,5.0,(28|41)
0.04524887,40.0,(30|37)
0.04494382,4.0,(29|8)
0.04464286,5.0,(13|26)
0.04365079,11.0,(30|16)
0.04333333,13.0,(30|6)
0.04285714,6.0,(22|48)
0.04264099,31.0,(26|41)
0.04255319,8.0,(32|10)
0.04237288,5.0,(12|27)
0.04166667,8.0,(3|37)
0.04166667,2.0,(21|44)
0.04128440,9.0,(33|14)
0.04123711,12.0,(14|34)
0.04109589,3.0,(16|39)
0.04000000,1.0,(13|37)
0.04000000,2.0,(49|6)
0.03952569,10.0,(32|14)
0.03947368,3.0,(22|4)
0.03943662,14.0,(0|30)
0.03883495,4.0,(32|2)
0.03846154,1.0,(13|10)
0.03846154,2.0,(13|45)
0.03787879,5.0,(31|11)
0.03726708,12.0,(25|0)
0.03716216,11.0,(32|5)
0.03703704,2.0,(5|5)
0.03703704,2.0,(6|6)
0.03703704,1.0,(27|28)
0.03676471,5.0,(2|8)
0.03664922,7.0,(4|13)
