Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 266 | Appellate Practice (jp:266,idx:115)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6666667,4.0,(48|29)
0.3396226,36.0,(20|9)
0.3014706,41.0,(21|7)
0.2880562,123.0,(20|8)
0.2827764,110.0,(21|6)
0.2133333,48.0,(21|5)
0.2133333,48.0,(22|6)
0.1875000,6.0,(19|9)
0.1777778,32.0,(20|7)
0.1400000,21.0,(19|8)
0.08383234,14.0,(20|6)
0.06250000,2.0,(22|45)
0.05952381,5.0,(21|11)
0.05454545,3.0,(0|29)
0.05263158,1.0,(20|5)
0.03571429,2.0,(49|29)
0.02941176,2.0,(18|7)
0.02678571,3.0,(22|1)
0.02631579,2.0,(21|4)
0.02469136,2.0,(20|49)
0.02469136,2.0,(22|5)
0.02409638,4.0,(26|47)
0.02142857,3.0,(16|3)
0.01990050,4.0,(0|5)
0.01960784,2.0,(19|10)
0.01960784,2.0,(20|10)
0.01939058,7.0,(1|11)
0.01923077,2.0,(23|14)
0.01923077,1.0,(23|46)
0.01550388,2.0,(30|11)
0.01470588,2.0,(30|10)
0.01428571,1.0,(16|6)
0.01408451,1.0,(1|25)
0.01324503,2.0,(18|45)
0.01282051,3.0,(21|13)
0.01190476,1.0,(15|47)
0.01176471,1.0,(10|47)
0.01162791,1.0,(16|9)
0.01162791,1.0,(47|7)
0.01063830,1.0,(16|4)
0.01030928,1.0,(17|4)
0.009259259,1.0,(11|47)
0.008928572,2.0,(21|45)
0.008720931,3.0,(22|0)
0.008620690,2.0,(8|49)
0.008474576,1.0,(24|1)
0.008196721,1.0,(22|7)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007352941,1.0,(22|44)
0.006825938,2.0,(44|44)
0.006622517,1.0,(23|48)
0.006097561,1.0,(22|9)
0.005917160,1.0,(2|2)
0.005434783,2.0,(2|12)
0.004524887,1.0,(0|4)
0.004329004,1.0,(0|49)
0.004032258,1.0,(25|15)
0.003952569,2.0,(25|12)
0.003861004,1.0,(5|4)
0.003496503,1.0,(15|6)
0.003105590,1.0,(25|0)
0.002732240,1.0,(15|4)
0.002493766,1.0,(6|47)
0.002178649,1.0,(26|43)
0.002105263,1.0,(11|37)
0.002092050,1.0,(15|46)
0.002087683,1.0,(5|43)
0.002053388,1.0,(28|6)
0.002004008,1.0,(14|32)
0.001785714,1.0,(0|26)
0.001683502,1.0,(14|0)
0.001672241,1.0,(20|44)
