Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 326 | Banking Lit-Consumer-Finance (jp:326,idx:173)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8720627,334.0,(16|25)
0.4417808,129.0,(15|26)
0.3316326,65.0,(16|26)
0.1666667,1.0,(20|13)
0.1666667,1.0,(21|14)
0.1250000,2.0,(17|26)
0.07142857,1.0,(20|45)
0.04411765,3.0,(17|14)
0.04347826,1.0,(9|24)
0.02777778,1.0,(14|14)
0.02702703,3.0,(9|14)
0.02678571,3.0,(8|24)
0.02500000,2.0,(11|13)
0.01724138,1.0,(12|13)
0.01600000,2.0,(8|14)
0.01369863,3.0,(48|38)
0.01369863,3.0,(48|39)
0.01339286,3.0,(16|15)
0.01315789,1.0,(10|26)
0.01279318,6.0,(22|13)
0.01231527,5.0,(19|12)
0.01231527,5.0,(20|12)
0.01190476,1.0,(15|15)
0.01153846,3.0,(15|13)
0.01126761,4.0,(0|30)
0.01075269,1.0,(22|36)
0.01033592,4.0,(22|42)
0.009345794,2.0,(14|18)
0.009216590,2.0,(44|42)
0.007792208,3.0,(3|42)
0.007751938,2.0,(12|25)
0.006666667,1.0,(19|8)
0.005714286,1.0,(11|22)
0.005617978,1.0,(8|4)
0.005376344,1.0,(10|9)
0.005305040,2.0,(22|3)
0.004901961,1.0,(15|16)
0.004739337,2.0,(35|34)
0.004694836,1.0,(25|47)
0.004566210,1.0,(2|4)
0.004385965,1.0,(1|26)
0.004291845,1.0,(6|24)
0.004184100,1.0,(44|45)
0.004149378,2.0,(21|33)
0.003816794,1.0,(16|44)
0.002915452,1.0,(14|36)
0.002881844,1.0,(11|8)
0.002518892,1.0,(13|22)
0.002358491,1.0,(16|38)
0.002202643,1.0,(18|15)
0.002192982,1.0,(32|43)
0.002092050,1.0,(15|46)
0.002004008,1.0,(14|32)
0.001801802,1.0,(46|5)
0.001801802,1.0,(47|4)
0.001801802,1.0,(47|5)
0.001158749,1.0,(6|3)
