Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 263 | Estate Planning-Wills & Probate (jp:263,idx:112)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3240224,174.0,(46|38)
0.3125000,15.0,(47|38)
0.2028985,14.0,(47|40)
0.1895044,65.0,(45|39)
0.1764706,27.0,(48|36)
0.1538462,4.0,(46|39)
0.1379310,4.0,(47|36)
0.1280488,21.0,(47|37)
0.1111111,2.0,(48|37)
0.1086956,15.0,(49|40)
0.1081081,4.0,(45|38)
0.08771930,5.0,(49|39)
0.06896552,16.0,(49|36)
0.06593407,6.0,(49|41)
0.06521739,6.0,(46|36)
0.06074766,13.0,(46|37)
0.05000000,1.0,(47|39)
0.05000000,1.0,(49|38)
0.04444445,2.0,(45|44)
0.02484472,4.0,(47|41)
0.02484472,4.0,(48|41)
0.02439024,3.0,(45|40)
0.02247191,2.0,(16|46)
0.01960784,5.0,(43|10)
0.01648352,3.0,(0|9)
0.01324503,2.0,(49|8)
0.01045296,3.0,(46|35)
0.009569378,2.0,(44|38)
0.009433962,1.0,(45|41)
0.009345794,2.0,(14|18)
0.009132420,2.0,(48|38)
0.009132420,2.0,(48|39)
0.008474576,1.0,(14|20)
0.007874016,1.0,(42|15)
0.007575758,1.0,(44|35)
0.007575758,1.0,(49|9)
0.007407407,1.0,(12|32)
0.007407407,1.0,(21|2)
0.007407407,1.0,(46|34)
0.007407407,1.0,(47|35)
0.006269592,2.0,(47|16)
0.005988024,1.0,(48|35)
0.005917160,1.0,(15|5)
0.005405406,1.0,(45|34)
0.004784689,1.0,(1|19)
0.004545454,1.0,(0|25)
0.004264392,2.0,(22|13)
0.003436426,1.0,(23|4)
0.003194888,1.0,(48|6)
0.003021148,1.0,(45|10)
