Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 319 | Enrolled Agents-General-Programs (jp:319,idx:166)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6149068,99.0,(41|30)
0.5467626,76.0,(41|31)
0.5378379,199.0,(42|30)
0.4166667,10.0,(42|31)
0.3546326,111.0,(42|29)
0.04000000,2.0,(41|29)
0.01923077,1.0,(45|21)
0.01626016,4.0,(47|22)
0.01600000,2.0,(46|2)
0.01503759,2.0,(40|29)
0.01357466,3.0,(45|7)
0.01342282,2.0,(45|13)
0.01020408,3.0,(41|46)
0.006666667,1.0,(46|22)
0.004608295,1.0,(36|3)
0.004347826,2.0,(47|23)
0.004149378,1.0,(42|14)
0.004081632,1.0,(42|13)
0.003816794,1.0,(45|23)
0.003067485,1.0,(35|18)
0.002538071,1.0,(39|30)
0.002444988,1.0,(41|32)
