Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 222 | Contracts (jp:222,idx:71)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02173913,1.0,(22|40)
0.02162162,4.0,(24|8)
0.02150538,2.0,(22|36)
0.02142857,3.0,(2|17)
0.02127660,2.0,(26|13)
0.02105263,8.0,(1|13)
0.02105263,4.0,(48|48)
0.02083333,4.0,(3|37)
0.02083333,1.0,(21|44)
0.02061856,2.0,(6|49)
0.02061856,2.0,(12|30)
0.02054795,3.0,(23|26)
0.02053388,10.0,(28|6)
0.02020202,2.0,(9|46)
0.02010050,4.0,(23|22)
0.02000000,5.0,(3|16)
0.01960784,3.0,(18|23)
0.01955990,8.0,(11|35)
0.01923077,1.0,(6|44)
0.01923077,1.0,(7|23)
0.01923077,2.0,(14|29)
0.01923077,1.0,(23|46)
0.01910828,3.0,(24|38)
0.01904762,2.0,(17|1)
0.01895735,4.0,(27|1)
0.01886792,2.0,(20|9)
0.01865672,5.0,(3|15)
0.01863354,3.0,(47|41)
0.01863354,3.0,(48|41)
0.01851852,2.0,(4|25)
0.01840491,3.0,(4|16)
0.01836735,9.0,(23|27)
0.01834862,2.0,(21|27)
0.01826484,8.0,(13|31)
0.01818182,1.0,(0|29)
0.01818182,2.0,(28|41)
0.01801802,2.0,(9|32)
0.01793722,4.0,(23|28)
0.01785714,10.0,(0|26)
0.01785714,1.0,(23|0)
0.01785714,1.0,(49|29)
0.01775148,3.0,(9|41)
0.01769911,4.0,(29|13)
0.01763224,7.0,(0|37)
0.01754386,1.0,(13|43)
0.01754386,7.0,(21|22)
0.01754386,2.0,(22|24)
0.01754386,1.0,(43|41)
0.01742160,5.0,(25|16)
0.01731602,4.0,(1|9)
0.01731602,4.0,(2|9)
0.01724138,3.0,(29|49)
0.01724138,2.0,(30|42)
0.01724138,5.0,(31|46)
0.01718213,5.0,(23|4)
0.01709402,4.0,(30|14)
0.01709402,4.0,(37|49)
0.01704546,3.0,(2|14)
0.01702128,4.0,(24|3)
0.01694915,1.0,(10|38)
0.01694915,3.0,(25|14)
0.01694915,2.0,(47|6)
0.01684210,8.0,(11|37)
0.01675978,3.0,(0|48)
0.01666667,2.0,(5|42)
0.01666667,2.0,(17|6)
0.01666667,3.0,(20|7)
0.01652892,2.0,(4|26)
0.01652892,2.0,(7|32)
0.01652892,4.0,(13|30)
0.01639344,1.0,(18|14)
0.01639344,6.0,(23|6)
0.01639344,1.0,(25|6)
0.01632653,4.0,(17|41)
0.01626016,2.0,(7|3)
0.01626016,2.0,(8|36)
0.01612903,1.0,(4|45)
0.01612903,1.0,(20|18)
0.01600000,2.0,(12|44)
0.01598174,7.0,(19|16)
0.01595745,6.0,(31|2)
0.01592357,5.0,(27|30)
0.01587302,2.0,(1|8)
0.01587302,2.0,(2|7)
0.01587302,2.0,(2|45)
0.01587302,1.0,(3|0)
0.01587302,1.0,(3|48)
0.01587302,2.0,(11|18)
0.01574803,2.0,(48|26)
0.01572327,5.0,(25|25)
0.01562500,1.0,(19|20)
0.01562500,3.0,(20|25)
0.01562500,4.0,(26|37)
0.01562500,1.0,(49|4)
0.01557632,5.0,(23|13)
0.01554404,3.0,(10|8)
0.01538462,1.0,(27|44)
0.01520913,4.0,(24|26)
0.01515152,1.0,(12|33)
0.01503759,2.0,(9|39)
0.01500000,3.0,(2|36)
0.01492537,2.0,(10|43)
0.01484230,8.0,(16|28)
0.01481481,2.0,(2|43)
0.01481481,2.0,(2|44)
0.01479290,5.0,(13|3)
0.01470588,4.0,(18|39)
0.01463415,3.0,(15|7)
0.01461378,7.0,(5|43)
0.01459854,2.0,(13|29)
0.01449275,1.0,(43|40)
