Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 198 | Corporate Finance (jp:198,idx:53)
Class Probability,Ex Count at BMU,BMU Map Loc
0.04761905,1.0,(21|42)
0.04720280,27.0,(4|10)
0.04705882,12.0,(6|13)
0.04705882,12.0,(18|30)
0.04666667,7.0,(16|13)
0.04637681,16.0,(48|18)
0.04629629,5.0,(8|13)
0.04605263,7.0,(8|22)
0.04545455,1.0,(6|29)
0.04545455,1.0,(7|29)
0.04545455,1.0,(9|21)
0.04545455,5.0,(31|0)
0.04494382,4.0,(48|11)
0.04494382,4.0,(49|13)
0.04483696,33.0,(14|24)
0.04482759,26.0,(18|22)
0.04477612,3.0,(10|18)
0.04477612,3.0,(18|16)
0.04444445,4.0,(11|30)
0.04411765,3.0,(33|19)
0.04395605,4.0,(49|41)
0.04347826,5.0,(10|32)
0.04347826,2.0,(12|3)
0.04347826,1.0,(15|18)
0.04347826,1.0,(15|41)
0.04347826,2.0,(16|32)
0.04301075,4.0,(10|5)
0.04242424,7.0,(14|22)
0.04225352,3.0,(29|30)
0.04210526,4.0,(1|17)
0.04210526,4.0,(2|16)
0.04201681,5.0,(8|16)
0.04166667,8.0,(4|14)
0.04166667,8.0,(4|15)
0.04166667,7.0,(35|17)
0.04146342,17.0,(0|10)
0.04123711,4.0,(12|30)
0.04081633,2.0,(47|28)
0.04074074,11.0,(6|19)
0.04065040,5.0,(8|27)
0.04032258,5.0,(13|32)
0.04000000,13.0,(20|31)
0.04000000,3.0,(45|19)
0.03968254,5.0,(11|18)
0.03960396,4.0,(11|31)
0.03940887,8.0,(3|26)
0.03883495,4.0,(32|2)
0.03846154,2.0,(6|44)
0.03846154,6.0,(44|40)
0.03807615,19.0,(14|32)
0.03804348,7.0,(5|6)
0.03804348,7.0,(42|40)
0.03773585,2.0,(11|14)
0.03763441,7.0,(10|9)
0.03759398,10.0,(7|8)
0.03759398,5.0,(10|11)
0.03703704,3.0,(22|5)
0.03696498,19.0,(0|42)
0.03669725,8.0,(0|38)
0.03669725,8.0,(0|39)
0.03623188,15.0,(9|18)
0.03571429,20.0,(0|26)
0.03571429,13.0,(11|7)
0.03526448,14.0,(13|22)
0.03517588,7.0,(7|10)
0.03500000,7.0,(30|47)
0.03482587,7.0,(5|14)
0.03448276,3.0,(18|26)
0.03431373,7.0,(16|31)
0.03361345,4.0,(2|32)
0.03361345,4.0,(15|32)
0.03333334,1.0,(0|17)
0.03333334,2.0,(13|24)
0.03333334,1.0,(13|25)
0.03310345,24.0,(27|0)
0.03305785,4.0,(28|25)
0.03278688,4.0,(9|16)
0.03278688,2.0,(14|21)
0.03265306,8.0,(17|41)
0.03260870,6.0,(6|9)
0.03260870,3.0,(8|32)
0.03260870,3.0,(9|19)
0.03240741,7.0,(20|32)
0.03225806,2.0,(6|7)
0.03225806,3.0,(48|34)
0.03200000,4.0,(8|14)
0.03191489,9.0,(11|23)
0.03191489,3.0,(13|21)
0.03174603,2.0,(4|23)
0.03174603,4.0,(10|22)
0.03167421,7.0,(7|9)
0.03157895,9.0,(12|11)
0.03137255,8.0,(8|8)
0.03125000,8.0,(4|18)
0.03125000,2.0,(10|25)
0.03125000,4.0,(27|48)
0.03068592,17.0,(29|34)
0.03061225,6.0,(4|7)
0.03030303,2.0,(12|33)
0.03030303,1.0,(44|46)
0.02995720,21.0,(21|30)
0.02985075,2.0,(3|24)
0.02982107,15.0,(21|34)
0.02976190,5.0,(16|34)
0.02970297,3.0,(30|49)
0.02966102,7.0,(28|30)
0.02962963,4.0,(45|4)
0.02955665,6.0,(48|7)
0.02941176,6.0,(10|17)
0.02941176,3.0,(10|35)
0.02941176,3.0,(40|42)
0.02840909,5.0,(8|7)
0.02830189,3.0,(12|22)
0.02816901,10.0,(0|30)
0.02816901,2.0,(3|44)
0.02816901,2.0,(11|27)
0.02807018,8.0,(17|21)
0.02803738,3.0,(32|36)
0.02762431,5.0,(6|20)
0.02758621,4.0,(45|26)
0.02743902,9.0,(40|40)
0.02739726,12.0,(19|16)
0.02673797,5.0,(7|15)
0.02672606,12.0,(42|41)
0.02652106,17.0,(20|35)
0.02631579,1.0,(0|11)
0.02631579,2.0,(16|24)
0.02617801,5.0,(4|13)
0.02597403,4.0,(0|19)
0.02597403,2.0,(21|25)
0.02594340,11.0,(16|38)
0.02586207,3.0,(20|24)
0.02586207,3.0,(41|41)
0.02577320,5.0,(4|17)
0.02575107,6.0,(6|24)
0.02555910,8.0,(48|6)
0.02554028,13.0,(10|21)
0.02521008,3.0,(8|11)
0.02521008,3.0,(36|2)
0.02500000,2.0,(0|28)
0.02500000,1.0,(40|2)
0.02491874,23.0,(31|47)
0.02473498,7.0,(44|34)
0.02469136,2.0,(7|27)
0.02469136,2.0,(25|23)
0.02445652,9.0,(2|12)
0.02439024,3.0,(1|16)
0.02439024,1.0,(2|48)
0.02439024,1.0,(9|15)
0.02439024,11.0,(9|33)
0.02439024,2.0,(12|16)
0.02439024,1.0,(13|34)
0.02439024,4.0,(22|9)
0.02427184,5.0,(13|28)
0.02409638,6.0,(5|18)
0.02409638,6.0,(17|31)
0.02395210,4.0,(46|48)
0.02395210,4.0,(49|1)
0.02392345,5.0,(46|17)
0.02380952,1.0,(0|6)
0.02371541,18.0,(36|36)
0.02368421,9.0,(1|13)
0.02364865,7.0,(49|18)
0.02362205,3.0,(19|21)
0.02358491,5.0,(11|9)
0.02348337,12.0,(32|44)
0.02325581,3.0,(6|8)
0.02325581,2.0,(7|22)
0.02325581,1.0,(27|46)
0.02307692,3.0,(10|24)
0.02272727,1.0,(31|48)
0.02272727,1.0,(34|6)
0.02272727,1.0,(35|7)
0.02272727,1.0,(35|8)
0.02272727,3.0,(44|35)
0.02272727,3.0,(49|9)
0.02264151,6.0,(40|41)
0.02255639,9.0,(21|22)
0.02252252,5.0,(27|29)
0.02242152,5.0,(1|20)
0.02222222,6.0,(13|18)
0.02214022,6.0,(49|12)
0.02205882,6.0,(30|25)
0.02189781,3.0,(3|39)
0.02173913,1.0,(11|29)
0.02173913,3.0,(14|23)
0.02163833,14.0,(8|28)
0.02162162,4.0,(26|45)
0.02162162,12.0,(46|5)
0.02162162,12.0,(47|4)
0.02162162,12.0,(47|5)
0.02150538,4.0,(38|6)
0.02145923,5.0,(5|24)
0.02144772,8.0,(21|46)
0.02127660,1.0,(4|49)
0.02116402,4.0,(12|38)
0.02112676,3.0,(8|5)
0.02105263,2.0,(48|14)
0.02105263,2.0,(49|44)
0.02097902,3.0,(5|3)
0.02083333,7.0,(7|19)
0.02083333,1.0,(27|35)
0.02076125,6.0,(7|18)
0.02068966,3.0,(6|21)
0.02067669,11.0,(9|7)
0.02054795,3.0,(14|10)
0.02054795,6.0,(15|26)
0.02051282,4.0,(9|8)
0.02047782,6.0,(44|44)
0.02040816,1.0,(16|14)
0.02037351,12.0,(17|40)
0.02037037,11.0,(17|32)
0.02020202,6.0,(29|35)
0.02017291,7.0,(11|8)
0.01995013,8.0,(32|3)
0.01983003,7.0,(24|34)
0.01983003,7.0,(25|33)
0.01977401,7.0,(32|19)
0.01970443,4.0,(6|4)
0.01966292,7.0,(22|32)
0.01948052,3.0,(12|21)
0.01948052,12.0,(49|11)
0.01945525,5.0,(20|26)
0.01941748,6.0,(26|22)
0.01913876,4.0,(42|20)
0.01904762,2.0,(11|28)
0.01897533,10.0,(28|33)
0.01886792,3.0,(18|25)
0.01878914,9.0,(5|43)
0.01875000,3.0,(24|23)
0.01869159,4.0,(14|18)
0.01851852,1.0,(5|5)
0.01851852,1.0,(6|6)
0.01851852,1.0,(18|21)
0.01834862,2.0,(10|15)
0.01818182,1.0,(10|41)
0.01818182,9.0,(39|45)
0.01809955,4.0,(2|21)
0.01809955,4.0,(28|40)
0.01807229,3.0,(5|19)
0.01807229,3.0,(26|47)
0.01801802,2.0,(9|32)
0.01801802,2.0,(46|42)
0.01796407,3.0,(45|17)
0.01785714,2.0,(8|24)
0.01785714,1.0,(25|49)
0.01764706,3.0,(9|10)
0.01764706,3.0,(18|17)
0.01754386,4.0,(7|21)
0.01754386,2.0,(10|40)
0.01739130,2.0,(27|49)
0.01724138,2.0,(5|7)
0.01724138,1.0,(19|15)
0.01724138,3.0,(29|49)
0.01718213,5.0,(14|34)
0.01714286,3.0,(3|18)
0.01714286,3.0,(13|23)
0.01712329,5.0,(40|48)
0.01709402,2.0,(0|14)
0.01700680,5.0,(41|46)
0.01694915,2.0,(12|27)
0.01694915,1.0,(13|17)
0.01694915,1.0,(34|36)
0.01694915,2.0,(43|49)
0.01694915,2.0,(47|6)
0.01687764,4.0,(12|10)
0.01684533,11.0,(18|27)
0.01680672,2.0,(9|25)
0.01680672,2.0,(21|48)
0.01658768,7.0,(35|34)
0.01655629,5.0,(1|23)
0.01639344,7.0,(28|2)
0.01639344,4.0,(44|22)
0.01626016,4.0,(12|24)
0.01612903,2.0,(1|15)
0.01612903,1.0,(2|35)
0.01612903,2.0,(17|15)
0.01612903,4.0,(19|27)
0.01587302,1.0,(3|13)
0.01582278,10.0,(28|5)
0.01574803,2.0,(44|5)
0.01562500,2.0,(1|6)
0.01562500,1.0,(8|25)
0.01562500,2.0,(39|20)
0.01555556,7.0,(23|34)
