Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 208 | Private Equity (jp:208,idx:58)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02714932,6.0,(14|31)
0.02707581,15.0,(29|34)
0.02702703,2.0,(49|25)
0.02672606,12.0,(42|41)
0.02666667,4.0,(19|44)
0.02631579,1.0,(0|11)
0.02631579,10.0,(1|13)
0.02631579,2.0,(16|24)
0.02597403,2.0,(16|37)
0.02597403,2.0,(21|25)
0.02592593,14.0,(17|32)
0.02586207,3.0,(20|24)
0.02586207,3.0,(41|41)
0.02577320,5.0,(4|17)
0.02531646,2.0,(12|9)
0.02521008,3.0,(2|32)
0.02521008,3.0,(9|25)
0.02521008,3.0,(36|2)
0.02500000,2.0,(0|28)
0.02479339,3.0,(28|25)
0.02473498,7.0,(44|34)
0.02469136,2.0,(12|35)
0.02469136,4.0,(41|43)
0.02439024,1.0,(2|48)
0.02439024,1.0,(13|34)
0.02439024,8.0,(40|40)
0.02427184,5.0,(13|28)
0.02419355,3.0,(13|32)
0.02392345,5.0,(46|17)
0.02380952,3.0,(1|8)
0.02380952,3.0,(2|7)
0.02371541,18.0,(36|36)
0.02366864,4.0,(2|2)
0.02364865,7.0,(49|18)
0.02325581,3.0,(6|8)
0.02325581,1.0,(27|46)
0.02298851,2.0,(18|26)
0.02272727,1.0,(34|6)
0.02272727,1.0,(35|7)
0.02272727,1.0,(35|8)
0.02272727,3.0,(44|35)
0.02272727,3.0,(49|9)
0.02272727,6.0,(49|46)
0.02255639,6.0,(7|8)
0.02252252,5.0,(27|29)
0.02252252,5.0,(48|13)
0.02226345,12.0,(16|28)
0.02217295,10.0,(9|33)
0.02214022,6.0,(49|12)
0.02209945,4.0,(6|20)
0.02197802,2.0,(9|28)
0.02189781,3.0,(3|39)
0.02189781,3.0,(27|20)
0.02189781,3.0,(37|43)
0.02173913,4.0,(6|9)
0.02173913,2.0,(8|32)
0.02173913,1.0,(11|29)
0.02150538,2.0,(4|22)
0.02150538,4.0,(38|6)
0.02127660,1.0,(4|49)
0.02127660,1.0,(6|5)
0.02127660,2.0,(13|21)
0.02105263,2.0,(48|14)
0.02105263,4.0,(48|48)
0.02094241,4.0,(4|13)
0.02061856,2.0,(2|46)
0.02051282,4.0,(12|20)
0.02040816,4.0,(4|7)
0.02028986,7.0,(48|47)
0.01995013,8.0,(32|3)
0.01977401,7.0,(32|19)
0.01970443,4.0,(3|26)
0.01960784,3.0,(36|4)
0.01951220,8.0,(0|10)
0.01948052,12.0,(49|11)
0.01935484,3.0,(40|43)
0.01923077,7.0,(11|7)
0.01913876,4.0,(42|20)
0.01886792,3.0,(3|23)
0.01877934,4.0,(19|24)
0.01870079,19.0,(17|19)
0.01869159,2.0,(32|36)
0.01851852,2.0,(4|25)
0.01834862,2.0,(21|27)
0.01834862,2.0,(31|3)
0.01818182,1.0,(10|41)
0.01818182,9.0,(39|45)
0.01811594,5.0,(16|20)
0.01809955,4.0,(2|21)
0.01809955,4.0,(7|9)
0.01807229,3.0,(5|19)
0.01807229,3.0,(26|47)
0.01803607,9.0,(14|32)
0.01801802,2.0,(9|14)
0.01801802,2.0,(9|32)
0.01801802,2.0,(46|42)
0.01796407,3.0,(45|17)
0.01785714,1.0,(25|49)
0.01769911,2.0,(2|0)
0.01754386,1.0,(2|27)
0.01754386,4.0,(7|21)
0.01754386,3.0,(8|29)
0.01754386,2.0,(10|40)
0.01739130,2.0,(27|49)
0.01730104,5.0,(7|18)
0.01727862,8.0,(46|46)
0.01724138,1.0,(19|15)
0.01716738,4.0,(5|24)
0.01700680,5.0,(41|46)
0.01694915,1.0,(13|17)
0.01694915,1.0,(13|33)
0.01694915,1.0,(34|36)
0.01694915,2.0,(43|49)
0.01680672,2.0,(8|16)
0.01666667,2.0,(11|10)
0.01639344,4.0,(44|22)
0.01612903,2.0,(1|15)
0.01612903,2.0,(33|29)
0.01607143,9.0,(0|26)
0.01606426,4.0,(5|18)
0.01587302,1.0,(3|0)
0.01587302,1.0,(3|13)
0.01587302,1.0,(3|48)
0.01587302,1.0,(4|23)
0.01587302,2.0,(11|18)
0.01578947,3.0,(25|21)
0.01568628,4.0,(6|13)
0.01562500,2.0,(39|20)
0.01560062,10.0,(20|35)
0.01531394,10.0,(18|27)
0.01517241,11.0,(27|0)
0.01515152,2.0,(1|2)
0.01515152,1.0,(12|33)
0.01515152,6.0,(38|45)
0.01512859,10.0,(29|28)
0.01503759,4.0,(39|8)
0.01494565,11.0,(14|24)
0.01492537,1.0,(18|16)
0.01481481,2.0,(12|32)
0.01481481,2.0,(36|37)
0.01481481,2.0,(46|34)
0.01481481,2.0,(47|35)
0.01470588,2.0,(2|8)
0.01470588,4.0,(30|25)
0.01466993,6.0,(48|15)
0.01459854,2.0,(38|11)
0.01449275,2.0,(1|46)
0.01449275,1.0,(43|40)
0.01449275,2.0,(49|40)
0.01441441,8.0,(46|5)
0.01441441,8.0,(47|4)
0.01441441,8.0,(47|5)
0.01428571,2.0,(5|26)
0.01428571,2.0,(10|49)
0.01426534,10.0,(21|30)
0.01421801,3.0,(31|19)
0.01408451,1.0,(49|49)
0.01401869,3.0,(14|18)
0.01392111,6.0,(0|1)
0.01392111,6.0,(0|2)
0.01379310,2.0,(14|33)
0.01369863,2.0,(14|10)
0.01369863,1.0,(46|44)
0.01360544,2.0,(15|21)
0.01346801,4.0,(29|35)
0.01345291,3.0,(1|20)
0.01345291,3.0,(48|43)
0.01333333,2.0,(16|13)
0.01333333,2.0,(45|18)
0.01315789,1.0,(10|26)
0.01298701,7.0,(38|41)
0.01277955,4.0,(48|6)
0.01271186,3.0,(28|30)
0.01257862,2.0,(18|25)
0.01253133,5.0,(21|22)
0.01250000,2.0,(35|1)
0.01250000,2.0,(35|10)
0.01234568,1.0,(7|27)
0.01234568,1.0,(9|12)
0.01234568,1.0,(22|5)
0.01234568,1.0,(25|23)
0.01230769,4.0,(20|31)
0.01224490,3.0,(17|41)
0.01219512,1.0,(0|47)
0.01209677,3.0,(19|27)
0.01197605,2.0,(46|48)
0.01197605,2.0,(49|1)
0.01192843,6.0,(21|34)
0.01190476,4.0,(7|19)
0.01176471,1.0,(35|42)
0.01170960,5.0,(28|2)
0.01169591,2.0,(48|33)
0.01162791,1.0,(47|7)
0.01153846,3.0,(37|36)
0.01152738,4.0,(47|17)
0.01149425,2.0,(1|27)
0.01149425,1.0,(20|14)
0.01142857,2.0,(3|18)
0.01136364,3.0,(47|14)
0.01111111,5.0,(23|34)
0.01107011,3.0,(2|19)
0.01098901,1.0,(15|39)
0.01098901,1.0,(33|49)
0.01086957,1.0,(9|19)
0.01081081,2.0,(3|46)
0.01081081,2.0,(39|42)
0.01075269,1.0,(48|34)
0.01072386,4.0,(21|46)
0.01052632,3.0,(12|11)
0.01052632,1.0,(49|44)
0.01041667,1.0,(5|12)
0.01041667,2.0,(20|25)
0.01041667,3.0,(42|3)
0.01030928,1.0,(35|45)
0.01025641,4.0,(17|33)
0.01020408,2.0,(18|35)
0.01020408,2.0,(36|19)
0.01010101,2.0,(44|19)
0.01010101,2.0,(44|21)
0.01007557,4.0,(13|22)
0.01000000,2.0,(17|24)
0.009950249,2.0,(5|14)
0.009950249,2.0,(17|22)
0.009933775,3.0,(1|23)
0.009900990,1.0,(30|49)
0.009900990,2.0,(42|36)
0.009852217,2.0,(2|20)
0.009852217,2.0,(10|7)
0.009803922,1.0,(10|35)
0.009803922,1.0,(11|1)
0.009803922,2.0,(15|16)
0.009784736,5.0,(6|28)
0.009750812,9.0,(31|47)
0.009708738,1.0,(6|15)
0.009708738,1.0,(27|31)
0.009615385,2.0,(47|34)
0.009569378,4.0,(43|42)
0.009554140,3.0,(27|30)
0.009523810,1.0,(11|28)
0.009493670,3.0,(42|16)
0.009433962,4.0,(16|38)
0.009389671,2.0,(34|19)
0.009345794,1.0,(3|49)
0.009316770,3.0,(25|0)
0.009259259,1.0,(5|46)
0.009202454,3.0,(35|18)
0.009132420,2.0,(48|38)
0.009132420,2.0,(48|39)
0.009090909,4.0,(29|24)
0.008944544,5.0,(28|29)
0.008928572,1.0,(13|26)
0.008928572,1.0,(22|1)
0.008771930,1.0,(2|22)
0.008771930,1.0,(22|24)
0.008720931,3.0,(38|16)
0.008695652,1.0,(10|32)
0.008658009,2.0,(0|49)
0.008620690,3.0,(32|18)
0.008583691,2.0,(6|24)
0.008565310,4.0,(12|28)
0.008510638,2.0,(3|11)
0.008403362,2.0,(48|20)
0.008368201,2.0,(34|44)
0.008368201,2.0,(44|45)
0.008333334,1.0,(5|42)
0.008264462,1.0,(0|46)
0.008264462,3.0,(10|39)
0.008264462,2.0,(44|13)
0.008219178,6.0,(33|36)
0.008196721,1.0,(9|16)
0.008174387,3.0,(37|23)
0.008130081,3.0,(2|24)
0.008130081,1.0,(7|14)
0.008130081,1.0,(8|27)
0.008108108,3.0,(42|30)
0.008064516,2.0,(15|23)
0.008000000,1.0,(8|14)
0.007936508,1.0,(32|20)
0.007905139,4.0,(25|12)
0.007874016,1.0,(44|5)
0.007812500,1.0,(27|48)
0.007782101,2.0,(31|49)
0.007741936,6.0,(17|36)
0.007712082,3.0,(21|6)
0.007692308,2.0,(7|36)
0.007692308,1.0,(10|24)
0.007662835,2.0,(37|9)
0.007633588,2.0,(38|13)
0.007590133,4.0,(38|44)
0.007575758,1.0,(2|18)
0.007518797,4.0,(9|7)
0.007518797,2.0,(43|22)
0.007462686,2.0,(3|15)
0.007334963,3.0,(11|35)
