Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 398 | RP Finance-Lending (jp:398,idx:233)
Class Probability,Ex Count at BMU,BMU Map Loc
0.09285714,13.0,(6|16)
0.09259259,5.0,(5|5)
0.09259259,5.0,(6|6)
0.09259259,10.0,(8|13)
0.09174312,10.0,(21|27)
0.09090909,2.0,(0|33)
0.08955224,6.0,(3|24)
0.08943089,11.0,(1|16)
0.08771930,10.0,(22|24)
0.08695652,8.0,(9|19)
0.08641975,7.0,(7|27)
0.08583691,20.0,(6|24)
0.08556150,16.0,(7|15)
0.08400000,21.0,(3|16)
0.08333334,1.0,(9|29)
0.08333334,17.0,(15|16)
0.08000000,10.0,(8|14)
0.08000000,2.0,(9|22)
0.08000000,2.0,(10|19)
0.07975460,13.0,(4|16)
0.07943925,17.0,(14|18)
0.07812500,10.0,(27|48)
0.07792208,6.0,(21|25)
0.07777778,7.0,(24|24)
0.07692308,1.0,(5|29)
0.07692308,1.0,(23|32)
0.07575758,5.0,(21|21)
0.07462686,20.0,(3|15)
0.07142857,10.0,(2|17)
0.07142857,6.0,(15|15)
0.07065217,13.0,(42|40)
0.07017544,16.0,(9|26)
0.07017544,4.0,(13|13)
0.07006370,11.0,(5|23)
0.06896552,2.0,(33|1)
0.06818182,3.0,(2|15)
0.06818182,3.0,(3|14)
0.06818182,3.0,(22|34)
0.06806283,13.0,(4|13)
0.06787331,15.0,(2|21)
0.06666667,2.0,(16|30)
0.06611570,24.0,(21|28)
0.06538462,17.0,(2|28)
0.06538462,17.0,(15|13)
0.06521739,6.0,(18|19)
0.06451613,4.0,(6|7)
0.06451613,2.0,(9|23)
0.06443299,25.0,(29|27)
0.06432749,11.0,(8|29)
0.06250000,1.0,(3|28)
0.06250000,3.0,(14|16)
0.06201550,8.0,(6|8)
0.06179775,11.0,(5|22)
0.06153846,8.0,(10|24)
0.06140351,7.0,(2|22)
0.06134969,10.0,(3|20)
0.05882353,4.0,(30|26)
0.05789474,22.0,(1|13)
0.05769231,3.0,(6|44)
0.05714286,10.0,(3|18)
0.05714286,2.0,(14|13)
0.05714286,2.0,(15|12)
0.05708661,58.0,(17|19)
0.05681818,10.0,(2|14)
0.05633803,4.0,(11|27)
0.05555556,10.0,(4|20)
0.05555556,1.0,(21|32)
0.05531915,13.0,(22|26)
0.05529954,24.0,(22|27)
0.05517241,8.0,(26|26)
0.05494506,20.0,(11|7)
0.05454545,3.0,(0|29)
0.05309734,6.0,(22|30)
0.05263158,1.0,(3|29)
0.05263158,1.0,(12|41)
0.05263158,3.0,(43|41)
0.05228758,8.0,(18|23)
0.05208333,5.0,(16|16)
0.05128205,2.0,(19|17)
0.05128205,2.0,(42|44)
0.05084746,3.0,(13|17)
0.05063291,4.0,(10|42)
0.05050505,5.0,(25|9)
0.05031446,8.0,(3|23)
0.05000000,3.0,(13|24)
0.04887218,13.0,(7|8)
0.04838710,6.0,(16|17)
0.04824561,11.0,(1|26)
0.04810997,14.0,(5|27)
0.04803494,33.0,(9|27)
0.04761905,1.0,(0|15)
0.04761905,1.0,(0|16)
0.04761905,3.0,(4|23)
0.04761905,1.0,(18|32)
0.04591837,9.0,(16|26)
0.04575163,14.0,(4|9)
0.04534314,37.0,(28|28)
0.04477612,3.0,(12|19)
0.04347826,5.0,(10|32)
0.04347826,3.0,(43|40)
