Map Node Loc,Probability,Count,Class
(0|0),0.3181818,56,91,0.2897727,51,390,0.2272727,40,389,0.09659091,17,276,0.01136364,2,210,0.01136364,2,232,0.01136364,2,243,0.005681818,1,79,0.005681818,1,130,0.005681818,1,138,0.005681818,1,198,0.005681818,1,244,0.005681818,1,295,
(0|1),0.3990719,172,389,0.3016241,130,91,0.03712297,16,97,0.03248260,14,292,0.03016241,13,276,0.01392111,6,198,0.01392111,6,208,0.01392111,6,232,0.009280742,4,108,0.009280742,4,138,0.009280742,4,291,0.006960557,3,85,0.006960557,3,211,0.006960557,3,222,0.006960557,3,295,0.006960557,3,390,0.006960557,3,441,0.004640371,2,90,0.004640371,2,214,0.004640371,2,262,0.004640371,2,278,0.004640371,2,336,0.004640371,2,380,0.004640371,2,384,0.004640371,2,409,0.004640371,2,424,0.002320186,1,68,0.002320186,1,79,0.002320186,1,104,0.002320186,1,111,0.002320186,1,121,0.002320186,1,129,0.002320186,1,216,0.002320186,1,255,0.002320186,1,269,0.002320186,1,312,0.002320186,1,332,0.002320186,1,365,0.002320186,1,398,0.002320186,1,407,0.002320186,1,411,0.002320186,1,438,0.002320186,1,464,0.002320186,1,468,0.002320186,1,469,0.002320186,1,473,
(0|2),0.3990719,172,389,0.3016241,130,91,0.03712297,16,97,0.03248260,14,292,0.03016241,13,276,0.01392111,6,198,0.01392111,6,208,0.01392111,6,232,0.009280742,4,108,0.009280742,4,138,0.009280742,4,291,0.006960557,3,85,0.006960557,3,211,0.006960557,3,222,0.006960557,3,295,0.006960557,3,390,0.006960557,3,441,0.004640371,2,90,0.004640371,2,214,0.004640371,2,262,0.004640371,2,278,0.004640371,2,336,0.004640371,2,380,0.004640371,2,384,0.004640371,2,409,0.004640371,2,424,0.002320186,1,68,0.002320186,1,79,0.002320186,1,104,0.002320186,1,111,0.002320186,1,121,0.002320186,1,129,0.002320186,1,216,0.002320186,1,255,0.002320186,1,269,0.002320186,1,312,0.002320186,1,332,0.002320186,1,365,0.002320186,1,398,0.002320186,1,407,0.002320186,1,411,0.002320186,1,438,0.002320186,1,464,0.002320186,1,468,0.002320186,1,469,0.002320186,1,473,
(0|3),0.2975207,36,265,0.2148760,26,371,0.06611570,8,129,0.06611570,8,370,0.04132231,5,296,0.04132231,5,387,0.02479339,3,104,0.02479339,3,117,0.01652892,2,281,0.01652892,2,288,0.01652892,2,293,0.01652892,2,364,0.01652892,2,395,0.01652892,2,399,0.008264462,1,69,0.008264462,1,85,0.008264462,1,97,0.008264462,1,224,0.008264462,1,233,0.008264462,1,291,0.008264462,1,369,0.008264462,1,396,0.008264462,1,397,0.008264462,1,398,0.008264462,1,401,0.008264462,1,420,0.008264462,1,421,0.008264462,1,423,0.008264462,1,424,
(0|4),0.1221719,27,269,0.08144797,18,104,0.08144797,18,214,0.05882353,13,69,0.05882353,13,433,0.04977376,11,438,0.03619910,8,368,0.03167421,7,293,0.03167421,7,364,0.02714932,6,424,0.02262443,5,117,0.02262443,5,279,0.02262443,5,408,0.01809955,4,85,0.01809955,4,366,0.01809955,4,387,0.01357466,3,96,0.01357466,3,232,0.01357466,3,243,0.01357466,3,371,0.01357466,3,422,0.01357466,3,425,0.009049774,2,90,0.009049774,2,121,0.009049774,2,122,0.009049774,2,211,0.009049774,2,280,0.009049774,2,292,0.009049774,2,297,0.009049774,2,390,0.009049774,2,411,0.009049774,2,416,0.009049774,2,423,0.004524887,1,68,0.004524887,1,79,0.004524887,1,91,0.004524887,1,108,0.004524887,1,129,0.004524887,1,222,0.004524887,1,224,0.004524887,1,229,0.004524887,1,252,0.004524887,1,255,0.004524887,1,262,0.004524887,1,265,0.004524887,1,266,0.004524887,1,296,0.004524887,1,332,0.004524887,1,333,0.004524887,1,365,0.004524887,1,367,0.004524887,1,370,0.004524887,1,374,0.004524887,1,381,0.004524887,1,383,0.004524887,1,396,0.004524887,1,439,0.004524887,1,444,0.004524887,1,463,
(0|5),0.09950249,20,104,0.08457711,17,117,0.07960199,16,293,0.06965174,14,85,0.04477612,9,438,0.03980099,8,269,0.03482587,7,387,0.03482587,7,409,0.02985075,6,420,0.02487562,5,91,0.02487562,5,243,0.02487562,5,371,0.02487562,5,423,0.01990050,4,255,0.01990050,4,266,0.01492537,3,122,0.01492537,3,252,0.01492537,3,280,0.01492537,3,283,0.01492537,3,290,0.01492537,3,421,0.009950249,2,68,0.009950249,2,87,0.009950249,2,90,0.009950249,2,129,0.009950249,2,214,0.009950249,2,265,0.009950249,2,278,0.009950249,2,362,0.009950249,2,390,0.009950249,2,413,0.009950249,2,433,0.004975124,1,66,0.004975124,1,69,0.004975124,1,79,0.004975124,1,96,0.004975124,1,130,0.004975124,1,198,0.004975124,1,232,0.004975124,1,234,0.004975124,1,248,0.004975124,1,279,0.004975124,1,285,0.004975124,1,333,0.004975124,1,363,0.004975124,1,366,0.004975124,1,374,0.004975124,1,377,0.004975124,1,382,0.004975124,1,391,0.004975124,1,395,0.004975124,1,398,0.004975124,1,408,0.004975124,1,410,0.004975124,1,412,0.004975124,1,414,0.004975124,1,416,0.004975124,1,424,0.004975124,1,425,0.004975124,1,444,0.004975124,1,466,
(0|6),0.1190476,5,69,0.1190476,5,117,0.09523810,4,366,0.07142857,3,424,0.04761905,2,79,0.04761905,2,90,0.04761905,2,91,0.04761905,2,214,0.04761905,2,462,0.02380952,1,68,0.02380952,1,130,0.02380952,1,198,0.02380952,1,229,0.02380952,1,277,0.02380952,1,283,0.02380952,1,287,0.02380952,1,333,0.02380952,1,362,0.02380952,1,365,0.02380952,1,378,0.02380952,1,390,0.02380952,1,394,0.02380952,1,420,0.02380952,1,425,
(0|7),0.1909091,21,121,0.1090909,12,379,0.05454545,6,69,0.04545455,5,233,0.03636364,4,117,0.03636364,4,129,0.03636364,4,380,0.02727273,3,67,0.02727273,3,97,0.02727273,3,214,0.02727273,3,364,0.02727273,3,394,0.02727273,3,398,0.01818182,2,78,0.01818182,2,91,0.01818182,2,110,0.01818182,2,232,0.01818182,2,303,0.01818182,2,327,0.01818182,2,367,0.01818182,2,390,0.01818182,2,423,0.009090909,1,68,0.009090909,1,79,0.009090909,1,96,0.009090909,1,130,0.009090909,1,198,0.009090909,1,211,0.009090909,1,227,0.009090909,1,246,0.009090909,1,269,0.009090909,1,276,0.009090909,1,284,0.009090909,1,365,0.009090909,1,368,0.009090909,1,401,0.009090909,1,416,0.009090909,1,424,0.009090909,1,425,0.009090909,1,433,
(0|8),0.2608696,6,108,0.1304348,3,441,0.08695652,2,110,0.08695652,2,198,0.08695652,2,252,0.08695652,2,331,0.08695652,2,379,0.04347826,1,130,0.04347826,1,208,0.04347826,1,394,0.04347826,1,440,
(0|9),0.2417582,44,255,0.1538462,28,262,0.07692308,14,339,0.07142857,13,198,0.04395605,8,208,0.03846154,7,130,0.03296703,6,129,0.03296703,6,278,0.02747253,5,138,0.02747253,5,283,0.02747253,5,336,0.02747253,5,362,0.02197802,4,56,0.02197802,4,401,0.01648352,3,58,0.01648352,3,263,0.01648352,3,402,0.01098901,2,108,0.01098901,2,121,0.01098901,2,222,0.01098901,2,380,0.01098901,2,382,0.01098901,2,398,0.005494506,1,76,0.005494506,1,79,0.005494506,1,104,0.005494506,1,293,0.005494506,1,403,0.005494506,1,444,0.005494506,1,463,
