Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
us_000534788,0.267103,0.119538
us_000463318,0.267103,0.147432
us_000616397,0.267103,0.294678
us_000551507,0.267103,0.298079
us_000534526,0.267103,0.308939
us_000538688,0.267103,0.452463
us_000619200,0.267103,0.520464
us_000588634,0.267103,0.526932
us_000590176,0.267103,0.610062
us_000464585,0.192148,0.022979
us_000584354,0.192148,0.024146
us_000394546,0.192148,0.026802
us_000561699,0.192148,0.028151
us_000589637,0.192148,0.029423
us_000589340,0.192148,0.029471
us_000567769,0.192148,0.030200
us_000599103,0.192148,0.030487
us_000582926,0.192148,0.031707
us_000615105,0.192148,0.033514
us_000575991,0.192148,0.033613
us_000576153,0.192148,0.034095
us_000576175,0.192148,0.034735
us_000576150,0.192148,0.036537
us_000546586,0.192148,0.036657
us_000620676,0.192148,0.037003
us_000482892,0.192148,0.040119
us_000578444,0.192148,0.041584
us_000543686,0.192148,0.042673
us_000578381,0.192148,0.043920
us_000476579,0.192148,0.045151
us_000620277,0.192148,0.045481
us_000582377,0.192148,0.045515
us_000578521,0.192148,0.046178
us_000534961,0.192148,0.046419
us_000582368,0.192148,0.046512
us_000582380,0.192148,0.046512
us_000578417,0.192148,0.049682
us_000615694,0.192148,0.052983
us_000314503,0.192148,0.060376
us_000543624,0.192148,0.061582
us_000571321,0.192148,0.062330
us_000591636,0.192148,0.063595
us_000584700,0.192148,0.067464
us_000532491,0.192148,0.071947
us_000572343,0.192148,0.072244
us_000575574,0.192148,0.129596
us_000514581,0.192148,0.244057
us_000582344,0.192148,0.341980
us_000561516,0.192148,0.370105
us_000544085,0.192148,0.419844
us_000536818,0.192148,0.420214
us_000616807,0.192148,0.474088
us_000574779,0.192148,1.143360
us_000575845,0.192148,1.232491
us_000589681,0.148151,0.835096
us_000589611,0.148151,0.950799
us_000589747,0.148151,0.953108
us_000589968,0.148151,0.953185
us_000589881,0.148151,2.581393
us_000589497,0.148151,4.195674
us_000587778,0.148151,6.596844
us_000154821,0.133883,3.438664
us_000563721,0.133883,3.438955
us_000577244,0.133883,3.439136
us_000614809,0.133883,3.440382
us_000461876,0.133883,3.441094
us_000476215,0.133883,3.442384
us_000494274,0.133883,3.443017
us_000559430,0.133883,3.447234
us_000574597,0.133883,3.460076
us_000504720,0.133883,3.471271
us_000468608,0.133883,3.476322
us_000113817,0.133883,3.499248
us_000502644,0.133883,3.531714
us_000622723,0.133883,3.545625
us_000615841,0.133883,3.565608
us_000593506,0.133883,3.570482
us_000496841,0.133883,3.582499
us_000566384,0.133883,3.593126
us_000461993,0.133883,3.668733
us_000578031,0.133883,3.720132
us_000153691,0.133883,3.925323
us_000485707,0.133883,4.091600
us_000485765,0.133883,4.260211
us_000542003,0.133883,4.272585
us_000495190,0.133883,4.277758
us_000476163,0.133883,4.291663
us_000494848,0.133883,4.380129
us_000494573,0.133883,4.391008
us_000622748,0.133883,5.233518
us_000578098,0.124427,0.136005
us_000545881,0.124427,0.151753
us_000579201,0.124427,0.159341
us_000587889,0.124427,0.173546
us_000590142,0.124427,0.176178
us_000554947,0.124427,0.176413
us_000523521,0.124427,0.184538
us_000573258,0.124427,0.186445
us_000618588,0.124427,0.191053
us_000574891,0.124427,0.197493
us_000622518,0.124427,0.197918
us_000537846,0.124427,0.205765
us_000599235,0.124427,0.207545
us_000621822,0.124427,0.210576
us_000536730,0.124427,0.212460
us_000569642,0.124427,0.212862
us_000522349,0.124427,0.215566
us_000621265,0.124427,0.215875
us_000538126,0.124427,0.217172
us_000537019,0.124427,0.219821
us_000588620,0.124427,0.219976
us_000536764,0.124427,0.220369
us_000609355,0.124427,0.220373
us_000609510,0.124427,0.220516
us_000537055,0.124427,0.225381
us_000522280,0.124427,0.227517
us_000592823,0.124427,0.227598
us_000590253,0.124427,0.228535
us_000621780,0.124427,0.229174
us_000566597,0.124427,0.229988
us_000537745,0.124427,0.230079
us_000537842,0.124427,0.230216
us_000536671,0.124427,0.231687
us_000599211,0.124427,0.232266
us_000537706,0.124427,0.237278
us_000568206,0.124427,0.245591
us_000573547,0.124427,0.253597
us_000568157,0.124427,0.254855
us_000592780,0.124427,0.256811
us_000611886,0.124427,0.258616
us_000615657,0.124427,0.259953
us_000497965,0.124427,0.263066
us_000598515,0.124427,0.265998
us_000590266,0.124427,0.287357
us_000537756,0.124427,0.311598
us_000598099,0.124427,0.311815
us_000581812,0.124427,0.330132
us_000598890,0.124427,0.344694
us_000541105,0.124427,0.347077
us_000598514,0.124427,0.392760
us_000617847,0.124427,0.411259
us_000515937,0.124427,0.566263
us_000596846,0.124427,0.612724
us_000562310,0.112824,1.815326
us_000570991,0.112824,2.598251
us_000523574,0.112824,2.609311
us_000558019,0.112824,2.620220
us_000486028,0.112824,2.621421
us_000442120,0.112824,2.623513
us_000546131,0.112824,2.626905
us_000499901,0.112824,2.644666
us_000569948,0.112824,2.648222
us_000461670,0.112824,2.681929
us_000527318,0.112824,2.757256
us_000494161,0.112824,2.762280
us_000553872,0.112824,2.781735
us_000503631,0.112824,2.797487
us_000512113,0.112824,2.798003
us_000490804,0.112824,2.798527
us_000506783,0.112824,2.798583
us_000510317,0.112824,2.799270
us_000486583,0.112824,2.801775
us_000577967,0.112824,2.802853
us_000614067,0.112824,2.802892
us_000587473,0.112824,2.803090
us_000583466,0.112824,2.803517
us_000483992,0.112824,2.803902
us_000575060,0.112824,2.806359
us_000598622,0.112824,2.807286
us_000612363,0.112824,2.807465
us_000584008,0.112824,2.807544
us_000479277,0.112824,2.807700
us_000547572,0.112824,2.807701
us_000541564,0.112824,2.807708
us_000497025,0.112824,2.807778
us_000535428,0.112824,2.807797
us_000574156,0.112824,2.807812
us_000573235,0.112824,2.807860
us_000586696,0.112824,2.807860
us_000582546,0.112824,2.807863
us_000533831,0.112824,2.807876
us_000567436,0.112824,2.807885
us_000464079,0.112824,2.807891
us_000575624,0.112824,2.807897
us_000517532,0.112824,2.807901
us_000581070,0.112824,2.807910
us_000580710,0.112824,2.807911
us_000501231,0.112824,2.807915
us_000578657,0.112824,2.807916
us_000460250,0.112824,2.807920
us_000589420,0.112824,2.807922
us_000458951,0.112824,2.807926
us_000580882,0.112824,2.807926
us_000258808,0.112824,2.807926
us_000598803,0.112824,2.807934
us_000598804,0.112824,2.807934
us_000473096,0.112824,2.807935
us_000573919,0.112824,2.807939
us_000578324,0.112824,2.807944
us_000554363,0.112824,2.807947
us_000055707,0.112824,2.807955
us_000578932,0.112824,2.807956
us_000616870,0.112824,2.807958
us_000615946,0.112824,2.807960
us_000577047,0.112824,2.807961
us_000615715,0.112824,2.807961
us_000591314,0.112824,2.807961
us_000616487,0.112824,2.807964
us_000616488,0.112824,2.807964
us_000616489,0.112824,2.807964
us_000616490,0.112824,2.807964
us_000616491,0.112824,2.807964
us_000535646,0.112824,2.807965
us_000580866,0.112824,2.807966
us_000584411,0.112824,2.807966
us_000580883,0.112824,2.807966
us_000592963,0.112824,2.807967
us_000614234,0.112824,2.807969
us_000598386,0.112824,2.807970
us_000598385,0.112824,2.807970
us_000598384,0.112824,2.807970
us_000617162,0.112824,2.807972
us_000583377,0.112824,2.807973
us_000616909,0.112824,2.807976
us_000601007,0.112824,2.807978
us_000575160,0.112824,2.807981
us_000584844,0.112824,2.807982
us_000584669,0.112824,2.807983
us_000524018,0.112824,2.807986
us_000542180,0.112824,2.807986
us_000586612,0.112824,2.807988
us_000618655,0.112824,2.807988
us_000618658,0.112824,2.807988
us_000612024,0.112824,2.807988
us_000507024,0.112824,2.807989
us_000543584,0.112824,2.807992
us_000598759,0.112824,2.807992
us_000613071,0.112824,2.807992
us_000482753,0.112824,2.807993
us_000598235,0.112824,2.808004
us_000612980,0.112824,2.808004
us_000609136,0.112824,2.808007
us_000580018,0.112824,2.808007
us_000584859,0.112824,2.808007
us_000593938,0.112824,2.808008
us_000593934,0.112824,2.808008
us_000545369,0.112824,2.808008
us_000474569,0.112824,2.808010
us_000585088,0.112824,2.808010
us_000517793,0.112824,2.808010
us_000597468,0.112824,2.808011
us_000598260,0.112824,2.808012
us_000555394,0.112824,2.808015
us_000600110,0.112824,2.808017
us_000584646,0.112824,2.808017
us_000584642,0.112824,2.808017
us_000269734,0.112824,2.808018
us_000600382,0.112824,2.808020
us_000465025,0.112824,2.808020
us_000589166,0.112824,2.808020
us_000481286,0.112824,2.808021
us_000586322,0.112824,2.808021
us_000490513,0.112824,2.808022
us_000551987,0.112824,2.808024
us_000600121,0.112824,2.808024
us_000559525,0.112824,2.808025
us_000471205,0.112824,2.808025
us_000599835,0.112824,2.808028
us_000601040,0.112824,2.808028
us_000612830,0.112824,2.808029
us_000569274,0.112824,2.808030
us_000599549,0.112824,2.808031
us_000594771,0.112824,2.808031
us_000557763,0.112824,2.808034
us_000595702,0.112824,2.808034
us_000598945,0.112824,2.808035
us_000116201,0.112824,2.808036
us_000598782,0.112824,2.808037
us_000584500,0.112824,2.808039
us_000469553,0.112824,2.808041
us_000599912,0.112824,2.808042
us_000599907,0.112824,2.808042
us_000482612,0.112824,2.808043
us_000597004,0.112824,2.808044
us_000597003,0.112824,2.808044
us_000597002,0.112824,2.808044
us_000599420,0.112824,2.808044
us_000571073,0.112824,2.808044
us_000593392,0.112824,2.808045
us_000474316,0.112824,2.808046
us_000596945,0.112824,2.808046
us_000584670,0.112824,2.808046
us_000596854,0.112824,2.808047
us_000584355,0.112824,2.808048
us_000585688,0.112824,2.808050
us_000579993,0.112824,2.808051
us_000560760,0.112824,2.808053
us_000487971,0.112824,2.808054
us_000583179,0.112824,2.808054
us_000565916,0.112824,2.808055
us_000525624,0.112824,2.808056
us_000587665,0.112824,2.808057
us_000615354,0.112824,2.808059
us_000615289,0.112824,2.808060
us_000598382,0.112824,2.808060
us_000598381,0.112824,2.808060
us_000598379,0.112824,2.808060
us_000484880,0.112824,2.808061
us_000593257,0.112824,2.808062
us_000593220,0.112824,2.808063
us_000593222,0.112824,2.808063
us_000465257,0.112824,2.808065
us_000469549,0.112824,2.808067
us_000617833,0.112824,2.808067
us_000338980,0.112824,2.808069
us_000596947,0.112824,2.808070
us_000473110,0.112824,2.808071
us_000570709,0.112824,2.808073
us_000600390,0.112824,2.808073
us_000566247,0.112824,2.808073
us_000571214,0.112824,2.808074
us_000597090,0.112824,2.808076
us_000597039,0.112824,2.808076
us_000597012,0.112824,2.808076
us_000594683,0.112824,2.808077
us_000474820,0.112824,2.808079
us_000592032,0.112824,2.808080
us_000617400,0.112824,2.808080
us_000528526,0.112824,2.808081
us_000481490,0.112824,2.808081
us_000509726,0.112824,2.808082
us_000519963,0.112824,2.808083
us_000589939,0.112824,2.808084
us_000619707,0.112824,2.808085
us_000619709,0.112824,2.808085
us_000480298,0.112824,2.808088
us_000595696,0.112824,2.808088
us_000423050,0.112824,2.808089
us_000535503,0.112824,2.808090
us_000577669,0.112824,2.808091
us_000487875,0.112824,2.808092
us_000619791,0.112824,2.808093
us_000619792,0.112824,2.808093
us_000542843,0.112824,2.808094
us_000595003,0.112824,2.808096
us_000483780,0.112824,2.808099
us_000499119,0.112824,2.808100
us_000480000,0.112824,2.808103
us_000469688,0.112824,2.808104
